,price,size
0,42386.28,0.11799371
1,42390.54,0.15340997
2,42391.71,0.14706192
3,42391.73,0.15340643
4,42396.23,0.23988796
5,42396.24,0.039
6,42397.49,1.0
7,42398.14,0.18879636
8,42400.12,0.05
9,42401.32,1.0
10,42401.4,0.18872091
11,42404.98,0.03577682
12,42406.33,0.23599769
13,42409.39,0.04369774
14,42409.4,0.312
15,42411.04,0.59
16,42418.66,0.11782067
17,42418.68,0.9018507
18,42420.35,0.05
19,42420.56,0.35395168
20,42422.52,0.47201966
21,42433.0,8.7691
22,42441.2,0.762
23,42445.07,0.70802989
24,42469.65,2.35992904
25,42474.18,1.18
26,42479.11,0.15107729
27,42483.6,1.551
28,42498.24,0.02602514
29,42498.25,2.36073058
30,42502.1,0.13
31,42528.99,0.36588226
32,42529.01,0.23422232
33,42529.02,2.2
34,42535.95,3.773
35,42567.1,1.66
36,42608.81,1.05411287
37,42609.09,7.614
38,42653.63,16.331
39,42742.3,1.224
40,42763.08,0.79999995
41,42801.0,0.00061027
42,42819.38,16.666
43,42900.0,0.00149049
44,42901.0,0.00060884
45,42933.0,0.00406
46,42934.0,0.00122
47,42959.25,0.02280149
48,42985.25,0.001
49,43000.0,0.06226909
