,price,size
0,42393.62,0.11797222
1,42395.36,0.11798025
2,42396.31,0.14720114
3,42396.41,0.45555381
4,42397.46,0.25016522
5,42397.49,1.0
6,42398.5,0.15337946
7,42398.51,0.05
8,42399.82,0.039
9,42401.32,1.0
10,42404.17,0.18876587
11,42404.98,0.03577682
12,42406.34,0.30554782
13,42409.09,0.59
14,42409.4,0.312
15,42410.67,0.0311659
16,42412.42,0.47049629
17,42416.93,0.23593662
18,42420.16,0.11748099
19,42420.35,0.05
20,42420.56,0.35395168
21,42422.52,0.47201966
22,42439.8,8.9024
23,42441.2,0.762
24,42445.07,0.70802989
25,42469.65,2.35992904
26,42470.39,0.15575911
27,42474.18,1.18
28,42483.6,1.551
29,42498.24,0.02602514
30,42498.25,2.36073058
31,42528.99,0.36588226
32,42529.01,0.23422232
33,42529.02,2.2
34,42535.95,3.773
35,42574.2,1.79
36,42608.81,1.05411287
37,42609.09,7.614
38,42653.63,16.331
39,42742.3,1.224
40,42763.08,0.79999995
41,42801.0,0.00061027
42,42819.38,16.666
43,42900.0,0.00149049
44,42901.0,0.00060884
45,42933.0,0.00406
46,42934.0,0.00122
47,42959.25,0.02280149
48,42985.25,0.001
49,43000.0,0.06226909
